Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;549711;546789;1102369;2016;379221;2006
GR;Nordeste;2868118;2723273;3167819;1163;1074918;2006
GR;Sudeste;2430792;2325601;9634743;4142;2445956;2006
GR;Sul;4685004;4558342;18654269;4092;4028732;2006
GR;Centro-Oeste;2463747;2459089;10102477;4108;2026438;2006
UF;Rond�nia;125209;125209;264430;2111;70729;2006
UF;Acre;37871;37863;56612;1495;15773;2006
UF;Amazonas;20216;20097;37069;1844;17349;2006
UF;Roraima;12200;12000;24000;2000;12000;2006
UF;Par�;278320;275770;576579;2090;215729;2006
UF;Amap�;1795;1750;1530;874;880;2006
UF;Tocantins;74100;74100;142149;1918;46761;2006
UF;Maranh�o;366513;363985;426203;1170;147477;2006
UF;Piau�;292328;262654;229533;873;93773;2006
UF;Cear�;639205;639205;760231;1189;268056;2006
UF;Rio Grande do Norte;86065;78496;51647;657;22204;2006
UF;Para�ba;185091;183295;156854;855;57979;2006
UF;Pernambuco;285608;262828;195573;744;65614;2006
UF;Alagoas;73561;72161;38664;535;13733;2006
UF;Sergipe;140534;139434;184908;1326;59352;2006
UF;Bahia;799213;721215;1124206;1558;346730;2006
UF;Minas Gerais;1331108;1225917;5152200;4202;1363182;2006
UF;Esp�rito Santo;39393;39393;78377;1989;32434;2006
UF;Rio de Janeiro;10891;10891;25786;2367;9462;2006
UF;Guanabara;...;...;...;...;...;2006
UF;S�o Paulo;1049400;1049400;4378380;4172;1040879;2006
UF;Paran�;2478730;2413754;11239987;4656;2389910;2006
UF;Santa Catarina;784214;741370;2886139;3892;617976;2006
UF;Rio Grande do Sul;1422060;1403218;4528143;3226;1020846;2006
UF;Mato Grosso do Sul;646903;644485;2342619;3634;370859;2006
UF;Mato Grosso;1079980;1079970;4228423;3915;866811;2006
UF;Goi�s;697357;695127;3297193;4743;731323;2006
UF;Distrito Federal;39507;39507;234242;5929;57446;2006
MU;Alta Floresta D'Oeste (RO);8100;8100;12150;1500;3281;2006
MU;Ariquemes (RO);2343;2343;4452;1900;1202;2006
MU;Cabixi (RO);4000;4000;12000;3000;3180;2006
MU;Cacoal (RO);3735;3735;5603;1500;1513;2006
MU;Cerejeiras (RO);4000;4000;8400;2100;2268;2006
MU;Colorado do Oeste (RO);3600;3600;8640;2400;2333;2006
MU;Corumbiara (RO);3700;3700;11100;3000;2942;2006
MU;Costa Marques (RO);750;750;675;900;182;2006
MU;Espig�o D'Oeste (RO);2645;2645;6348;2400;1714;2006
MU;Guajar�-Mirim (RO);600;600;900;1500;243;2006
MU;Jaru (RO);2350;2350;4935;2100;1332;2006
MU;Ji-Paran� (RO);880;880;1760;2000;475;2006
MU;Machadinho D'Oeste (RO);3850;3850;5775;1500;1502;2006
MU;Nova Brasil�ndia D'Oeste (RO);1282;1282;2308;1800;623;2006
MU;Ouro Preto do Oeste (RO);900;900;1620;1800;437;2006
MU;Pimenta Bueno (RO);805;805;966;1200;261;2006
MU;Porto Velho (RO);1837;1837;2805;1526;757;2006
MU;Presidente M�dici (RO);1575;1575;3308;2100;893;2006
MU;Rio Crespo (RO);600;600;720;1200;194;2006
MU;Rolim de Moura (RO);1193;1193;2505;2099;676;2006
MU;Santa Luzia D'Oeste (RO);2939;2939;5819;1979;1571;2006
MU;Vilhena (RO);14500;14500;46110;3180;12450;2006
MU;S�o Miguel do Guapor� (RO);1150;1150;2070;1800;538;2006
MU;Nova Mamor� (RO);1200;1200;1440;1200;389;2006
MU;Alvorada D'Oeste (RO);1560;1560;2059;1319;556;2006
MU;Alto Alegre dos Parecis (RO);4800;4800;10560;2200;2798;2006
MU;Alto Para�so (RO);400;400;480;1200;130;2006
MU;Buritis (RO);5000;5000;9000;1800;2340;2006
MU;Novo Horizonte do Oeste (RO);3861;3861;6950;1800;1877;2006
MU;Cacaul�ndia (RO);770;770;1016;1319;274;2006
MU;Campo Novo de Rond�nia (RO);1766;1766;2472;1399;643;2006
MU;Candeias do Jamari (RO);250;250;270;1080;73;2006
MU;Castanheiras (RO);1500;1500;3150;2100;851;2006
MU;Chupinguaia (RO);5870;5870;18743;3193;4967;2006
MU;Cujubim (RO);580;580;870;1500;226;2006
MU;Governador Jorge Teixeira (RO);2100;2100;4032;1920;1089;2006
MU;Itapu� do Oeste (RO);180;180;198;1100;53;2006
MU;Ministro Andreazza (RO);586;586;1028;1754;278;2006
MU;Mirante da Serra (RO);2200;2200;3960;1800;1049;2006
MU;Monte Negro (RO);600;600;720;1200;194;2006
MU;Nova Uni�o (RO);800;800;1200;1500;318;2006
MU;Parecis (RO);2810;2810;3653;1300;968;2006
MU;Pimenteiras do Oeste (RO);1600;1600;4800;3000;1272;2006
MU;Primavera de Rond�nia (RO);700;700;1540;2200;408;2006
MU;S�o Felipe D'Oeste (RO);3455;3455;8244;2386;2226;2006
MU;S�o Francisco do Guapor� (RO);4100;4100;7380;1800;1919;2006
MU;Seringueiras (RO);1221;1221;2418;1980;629;2006
MU;Teixeir�polis (RO);1120;1120;2072;1850;559;2006
MU;Theobroma (RO);2286;2286;2972;1300;802;2006
MU;Urup� (RO);2110;2110;5064;2400;1367;2006
MU;Vale do Anari (RO);1650;1650;2970;1800;772;2006
MU;Vale do Para�so (RO);2800;2800;4200;1500;1134;2006
MU;Acrel�ndia (AC);2570;2570;5140;2000;1234;2006
MU;Assis Brasil (AC);350;350;525;1500;158;2006
MU;Brasil�ia (AC);3800;3800;5700;1500;1596;2006
MU;Bujari (AC);2200;2200;3080;1400;924;2006
MU;Capixaba (AC);2060;2060;3377;1639;1013;2006
MU;Cruzeiro do Sul (AC);3016;3016;2413;800;724;2006
MU;Epitaciol�ndia (AC);2940;2940;4410;1500;1235;2006
MU;Feij� (AC);2277;2277;3415;1499;1025;2006
MU;Jord�o (AC);702;702;983;1400;295;2006
MU;M�ncio Lima (AC);446;446;401;899;120;2006
MU;Manoel Urbano (AC);400;400;600;1500;210;2006
MU;Marechal Thaumaturgo (AC);1044;1044;1113;1066;301;2006
MU;Pl�cido de Castro (AC);1359;1351;2702;2000;648;2006
MU;Porto Walter (AC);479;479;479;1000;129;2006
MU;Rio Branco (AC);1296;1296;1944;1500;525;2006
MU;Rodrigues Alves (AC);584;584;584;1000;175;2006
MU;Santa Rosa do Purus (AC);30;30;36;1200;18;2006
MU;Senador Guiomard (AC);1818;1818;3960;2178;1188;2006
MU;Sena Madureira (AC);3220;3220;4830;1500;1159;2006
MU;Tarauac� (AC);3854;3854;5781;1500;1734;2006
MU;Xapuri (AC);1430;1430;2145;1500;644;2006
MU;Porto Acre (AC);1996;1996;2994;1500;719;2006
MU;Alvar�es (AM);88;88;189;2147;83;2006
MU;Amatur� (AM);200;200;120;600;89;2006
MU;Anam� (AM);103;100;209;2090;52;2006
MU;Anori (AM);25;25;95;3800;32;2006
MU;Apu� (AM);4900;4900;8358;1705;5015;2006
MU;Atalaia do Norte (AM);-;-;-;-;-;2006
MU;Autazes (AM);200;200;500;2500;125;2006
MU;Barcelos (AM);12;12;24;2000;4;2006
MU;Barreirinha (AM);270;270;810;3000;486;2006
MU;Benjamin Constant (AM);390;387;480;1240;355;2006
MU;Beruri (AM);30;30;60;2000;60;2006
MU;Boa Vista do Ramos (AM);220;220;404;1836;727;2006
MU;Boca do Acre (AM);670;670;737;1100;354;2006
MU;Borba (AM);150;150;375;2500;94;2006
MU;Caapiranga (AM);-;-;-;-;-;2006
MU;Canutama (AM);60;60;114;1900;46;2006
MU;Carauari (AM);382;380;380;1000;171;2006
MU;Careiro (AM);700;700;2100;3000;315;2006
MU;Careiro da V�rzea (AM);850;850;2550;3000;1097;2006
MU;Coari (AM);285;280;560;2000;392;2006
MU;Codaj�s (AM);450;410;500;1219;170;2006
MU;Eirunep� (AM);332;332;322;969;113;2006
MU;Envira (AM);1200;1200;1800;1500;720;2006
MU;Fonte Boa (AM);287;286;172;601;127;2006
MU;Guajar� (AM);379;379;1200;3166;360;2006
MU;Humait� (AM);1015;1015;2537;2499;1370;2006
MU;Ipixuna (AM);105;100;200;2000;100;2006
MU;Iranduba (AM);320;320;950;2968;133;2006
MU;Itacoatiara (AM);1250;1250;2500;2000;1000;2006
MU;Itamarati (AM);107;105;150;1428;83;2006
MU;Itapiranga (AM);76;76;150;1973;75;2006
MU;Japur� (AM);20;20;50;2500;37;2006
MU;Juru� (AM);107;106;106;1000;42;2006
MU;Juta� (AM);31;31;41;1322;30;2006
MU;L�brea (AM);900;900;540;600;243;2006
MU;Manacapuru (AM);150;150;300;2000;180;2006
MU;Manaquiri (AM);100;100;120;1200;50;2006
MU;Manaus (AM);250;250;500;2000;140;2006
MU;Manicor� (AM);355;355;355;1000;213;2006
MU;Mara� (AM);-;-;-;-;-;2006
MU;Mau�s (AM);450;450;841;1868;505;2006
MU;Nhamund� (AM);200;200;200;1000;120;2006
MU;Nova Olinda do Norte (AM);84;84;240;2857;89;2006
