Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano
GR;Norte;932408;932280;3531842;3788;2763439;2020
GR;Nordeste;2581818;2518592;8824331;3504;7016196;2020
GR;Sudeste;1964490;1944143;12239652;6296;10485084;2020
GR;Sul;3790673;3779365;22722918;6012;17646527;2020
GR;Centro-Oeste;9087031;9084601;56672192;6238;34512299;2020
UF;Rond�nia;246609;246564;1036905;4205;751811;2020
UF;Acre;29870;29870;83819;2806;71164;2020
UF;Amazonas;3066;3026;6824;2255;6426;2020
UF;Roraima;13900;13900;79128;5693;89325;2020
UF;Par�;320749;320749;893065;2784;667890;2020
UF;Amap�;1306;1263;1150;911;973;2020
UF;Tocantins;316908;316908;1430951;4515;1175849;2020
UF;Maranh�o;455590;455590;2177432;4779;1530695;2020
UF;Piau�;467765;466232;2199753;4718;1622506;2020
UF;Cear�;538259;537704;633317;1178;530482;2020
UF;Rio Grande do Norte;58887;55776;31252;560;27839;2020
UF;Para�ba;97765;97725;77585;794;72418;2020
UF;Pernambuco;178021;144159;92638;643;86361;2020
UF;Alagoas;38523;31926;61097;1914;64082;2020
UF;Sergipe;152103;152103;904506;5947;940512;2020
UF;Bahia;594905;577377;2646751;4584;2141299;2020
UF;Minas Gerais;1139726;1119388;7689309;6869;6100649;2020
UF;Esp�rito Santo;12822;12822;38883;3033;37149;2020
UF;Rio de Janeiro;1655;1655;7866;4753;6475;2020
UF;Guanabara;...;...;...;...;...;2020
UF;S�o Paulo;810287;810278;4503594;5558;4340811;2020
UF;Paran�;2696231;2695831;15809775;5865;12664960;2020
UF;Santa Catarina;342869;341849;2701935;7904;1930399;2020
UF;Rio Grande do Sul;751573;741685;4211208;5678;3051168;2020
UF;Mato Grosso do Sul;1973409;1972979;10696608;5422;7442091;2020
UF;Mato Grosso;5318762;5318762;33650671;6327;19120783;2020
UF;Goi�s;1733660;1731660;11838775;6837;7559730;2020
UF;Distrito Federal;61200;61200;486138;7943;389695;2020
MU;Alta Floresta D'Oeste (RO);6728;6728;16267;2418;11277;2020
MU;Ariquemes (RO);1600;1600;5760;3600;7949;2020
MU;Cabixi (RO);20400;20400;93920;4604;65711;2020
MU;Cacoal (RO);2139;2139;3616;1691;3119;2020
MU;Cerejeiras (RO);32050;32050;147360;4598;103149;2020
MU;Colorado do Oeste (RO);1550;1550;7063;4557;4941;2020
MU;Corumbiara (RO);26020;26020;119664;4599;83764;2020
MU;Costa Marques (RO);120;120;180;1500;85;2020
MU;Espig�o D'Oeste (RO);2284;2284;5482;2400;3717;2020
MU;Guajar�-Mirim (RO);50;50;114;2280;89;2020
MU;Jaru (RO);277;277;564;2036;338;2020
MU;Ji-Paran� (RO);50;50;90;1800;42;2020
MU;Machadinho D'Oeste (RO);140;140;344;2457;413;2020
MU;Nova Brasil�ndia D'Oeste (RO);460;460;552;1200;368;2020
MU;Ouro Preto do Oeste (RO);100;100;200;2000;94;2020
MU;Pimenta Bueno (RO);474;474;920;1941;693;2020
MU;Porto Velho (RO);23651;23651;96076;4062;78782;2020
MU;Presidente M�dici (RO);300;300;630;2100;296;2020
MU;Rio Crespo (RO);2750;2750;7563;2750;9076;2020
MU;Rolim de Moura (RO);950;950;1869;1967;1345;2020
MU;Santa Luzia D'Oeste (RO);750;750;2220;2960;1860;2020
MU;Vilhena (RO);48010;48010;230432;4800;161302;2020
MU;S�o Miguel do Guapor� (RO);4623;4623;11095;2400;6107;2020
MU;Nova Mamor� (RO);1300;1300;2120;1631;2019;2020
MU;Alvorada D'Oeste (RO);165;165;297;1800;140;2020
MU;Alto Alegre dos Parecis (RO);6840;6840;20520;3000;13992;2020
MU;Alto Para�so (RO);1080;1080;3564;3300;4348;2020
MU;Buritis (RO);250;250;544;2176;598;2020
MU;Novo Horizonte do Oeste (RO);526;526;559;1063;399;2020
MU;Cacaul�ndia (RO);-;-;-;-;-;2020
MU;Campo Novo de Rond�nia (RO);524;524;1190;2271;1428;2020
MU;Candeias do Jamari (RO);2200;2200;13200;6000;12092;2020
MU;Castanheiras (RO);1450;1450;5434;3748;4306;2020
MU;Chupinguaia (RO);18060;18060;83893;4645;58722;2020
MU;Cujubim (RO);840;840;3297;3925;4088;2020
MU;Governador Jorge Teixeira (RO);300;300;660;2200;660;2020
MU;Itapu� do Oeste (RO);300;300;895;2983;751;2020
MU;Ministro Andreazza (RO);530;530;954;1800;668;2020
MU;Mirante da Serra (RO);1800;1800;3510;1950;1650;2020
MU;Monte Negro (RO);80;80;108;1350;130;2020
MU;Nova Uni�o (RO);316;316;664;2101;312;2020
MU;Parecis (RO);1097;1097;3162;2882;2337;2020
MU;Pimenteiras do Oeste (RO);28001;28001;126003;4500;88202;2020
MU;Primavera de Rond�nia (RO);70;70;84;1200;56;2020
MU;S�o Felipe D'Oeste (RO);1075;1075;2580;2400;1806;2020
MU;S�o Francisco do Guapor� (RO);1300;1300;2600;2000;1222;2020
MU;Seringueiras (RO);1150;1150;2760;2400;1297;2020
MU;Teixeir�polis (RO);45;45;78;1733;37;2020
MU;Theobroma (RO);1107;1107;5174;4674;5174;2020
MU;Urup� (RO);247;247;371;1502;174;2020
MU;Vale do Anari (RO);430;385;613;1592;644;2020
MU;Vale do Para�so (RO);50;50;90;1800;42;2020
MU;Acrel�ndia (AC);870;870;2600;2989;1820;2020
MU;Assis Brasil (AC);600;600;1020;1700;735;2020
MU;Brasil�ia (AC);1520;1520;3575;2352;2520;2020
MU;Bujari (AC);1250;1250;2750;2200;1925;2020
MU;Capixaba (AC);2030;2030;7000;3448;6914;2020
MU;Cruzeiro do Sul (AC);750;750;1441;1921;1216;2020
MU;Epitaciol�ndia (AC);1370;1370;3980;2905;2882;2020
MU;Feij� (AC);3000;3000;6450;2150;5483;2020
MU;Jord�o (AC);450;450;860;1911;757;2020
MU;M�ncio Lima (AC);500;500;867;1734;736;2020
MU;Manoel Urbano (AC);610;610;1220;2000;854;2020
MU;Marechal Thaumaturgo (AC);650;650;1177;1811;1031;2020
MU;Pl�cido de Castro (AC);2000;2000;7850;3925;6802;2020
MU;Porto Walter (AC);200;200;340;1700;296;2020
MU;Rio Branco (AC);3030;3030;10127;3342;9984;2020
MU;Rodrigues Alves (AC);500;500;681;1362;606;2020
MU;Santa Rosa do Purus (AC);280;280;476;1700;324;2020
MU;Senador Guiomard (AC);2500;2500;11250;4500;11250;2020
MU;Sena Madureira (AC);1800;1800;3420;1900;2394;2020
MU;Tarauac� (AC);2700;2700;5805;2150;4818;2020
MU;Xapuri (AC);1500;1500;4050;2700;2843;2020
MU;Porto Acre (AC);1760;1760;6880;3909;4976;2020
MU;Alvar�es (AM);2;2;5;2500;4;2020
MU;Amatur� (AM);-;-;-;-;-;2020
MU;Anam� (AM);50;40;110;2750;143;2020
MU;Anori (AM);30;30;90;3000;90;2020
MU;Apu� (AM);640;640;1400;2188;1120;2020
MU;Atalaia do Norte (AM);25;25;75;3000;105;2020
MU;Autazes (AM);47;47;141;3000;99;2020
MU;Barcelos (AM);-;-;-;-;-;2020
MU;Barreirinha (AM);5;5;8;1600;6;2020
MU;Benjamin Constant (AM);7;5;15;3000;27;2020
MU;Beruri (AM);-;-;-;-;-;2020
MU;Boa Vista do Ramos (AM);10;10;21;2100;16;2020
MU;Boca do Acre (AM);580;575;1300;2261;975;2020
MU;Borba (AM);18;18;54;3000;49;2020
MU;Caapiranga (AM);-;-;-;-;-;2020
MU;Canutama (AM);18;18;48;2667;48;2020
MU;Carauari (AM);20;20;36;1800;54;2020
MU;Careiro (AM);20;20;40;2000;36;2020
