Hierarquia;Nome;Area plantada (ha);Area colhida(ha);Quantidade produzida;Rendimento medio (Kg/ha);Valor da producao(R$X1000);Ano 
GR;Norte;523232;518603;1273569;2455;535531;2009
GR;Nordeste;3126736;2893274;4799396;1658;1647182;2009
GR;Sudeste;2105154;2092139;10326766;4935;3516160;2009
GR;Sul;4840289;4703017;18693066;3974;5648562;2009
GR;Centro-Oeste;3548910;3447682;15627025;4532;3685050;2009
UF;Rond�nia;153691;153691;368819;2399;117729;2009
UF;Acre;27903;27583;57293;2077;22861;2009
UF;Amazonas;12200;12200;29252;2397;15054;2009
UF;Roraima;6500;6400;12800;2000;7680;2009
UF;Par�;244564;240387;552104;2296;280742;2009
UF;Amap�;3500;3468;2850;821;1600;2009
UF;Tocantins;74874;74874;250451;3344;89864;2009
UF;Maranh�o;357417;349669;524178;1499;180867;2009
UF;Piau�;329893;320812;496279;1546;216927;2009
UF;Cear�;714034;691632;538962;779;220363;2009
UF;Rio Grande do Norte;90735;65750;42282;643;21046;2009
UF;Para�ba;191901;181830;101241;556;38422;2009
UF;Pernambuco;308937;282687;193059;682;75368;2009
UF;Alagoas;70500;68350;42382;620;15305;2009
UF;Sergipe;172941;172941;703294;4066;188148;2009
UF;Bahia;890378;759603;2157719;2840;690734;2009
UF;Minas Gerais;1288434;1278299;6536545;5113;2289531;2009
UF;Esp�rito Santo;37671;37671;97139;2578;39547;2009
UF;Rio de Janeiro;7809;7759;19023;2451;8236;2009
UF;Guanabara;...;...;...;...;...;2009
UF;S�o Paulo;771240;768410;3674059;4781;1178847;2009
UF;Paran�;2806026;2735654;11261704;4116;3231875;2009
UF;Santa Catarina;648509;648509;3244500;5003;1114245;2009
UF;Rio Grande do Sul;1385754;1318854;4186862;3174;1302441;2009
UF;Mato Grosso do Sul;936912;838234;2181429;2602;515681;2009
UF;Mato Grosso;1665470;1662920;8181984;4920;1840492;2009
UF;Goi�s;906250;906250;4980614;5495;1257561;2009
UF;Distrito Federal;40278;40278;282998;7026;71315;2009
MU;Alta Floresta D'Oeste (RO);8910;8910;19602;2200;9017;2009
MU;Ariquemes (RO);3566;3566;7132;2000;2068;2009
MU;Cabixi (RO);8000;8000;28800;3600;8064;2009
MU;Cacoal (RO);4108;4108;7394;1799;3401;2009
MU;Cerejeiras (RO);10000;10000;30000;3000;8400;2009
MU;Colorado do Oeste (RO);3000;3000;7200;2400;2016;2009
MU;Corumbiara (RO);14000;14000;42000;3000;11760;2009
MU;Costa Marques (RO);450;450;405;900;113;2009
MU;Espig�o D'Oeste (RO);2645;2645;6348;2400;2920;2009
MU;Guajar�-Mirim (RO);460;460;690;1500;179;2009
MU;Jaru (RO);2350;2350;4935;2100;1382;2009
MU;Ji-Paran� (RO);1113;1113;2226;2000;623;2009
MU;Machadinho D'Oeste (RO);3850;3850;5775;1500;1617;2009
MU;Nova Brasil�ndia D'Oeste (RO);1080;1080;1944;1800;894;2009
MU;Ouro Preto do Oeste (RO);1200;1200;2160;1800;605;2009
MU;Pimenta Bueno (RO);805;805;966;1200;444;2009
MU;Porto Velho (RO);2337;2337;4405;1884;1233;2009
MU;Presidente M�dici (RO);1732;1732;3637;2099;1018;2009
MU;Rio Crespo (RO);600;600;792;1320;206;2009
MU;Rolim de Moura (RO);1200;1200;2520;2100;1159;2009
MU;Santa Luzia D'Oeste (RO);3233;3233;6789;2099;3123;2009
